# class coastal green red blue red_edge1 red_edge2 red_edge3 swir1 swir2 NDVI LAI MNDWI
1 668 1337 1773 940.5 2652 2276 2431.5 4081 3509.5 0.198644 0.371679 -0.50646 
1 867 1534 1998 1034 2658 2496 2648 4588 3561 0.141753 0.235425 -0.498857 
1 816.5 1604 2137 1210 3145 2723 2911.5 4791.5 3744 0.190837 0.421744 -0.498397 
1 2462 2736 2730 2670 3288 2842 2817 3568 2683 0.092722 0.405396 -0.13198 
1 781 1578 2030 1130 2746 2417 2569 4375 3443 0.149916 0.275667 -0.469847 
1 815 1188 1716 859 2193 1979.5 2082.5 4269 3694 0.122026 0.150873 -0.564596 
1 573.5 1285 1834 829 2649 2244 2428 4034 3377.5 0.181798 0.304797 -0.516827 
1 930 1478 1934 1160 2418 2268 2422 4326 3747 0.111213 0.167719 -0.490696 
1 851.5 1376 1867 1080 2625 2393.5 2622.5 4352 3320.5 0.168744 0.317945 -0.519553 
1 638 1284 1798 846 2714 2458 2742 4202 3191 0.203014 0.364906 -0.531899 
1 538 1070 1468 809 2070 1804 1943 4048 3493 0.170153 0.249651 -0.581868 
1 729.5 1221 1643 883 2282 2047.5 2172.5 3733.5 2998.5 0.162803 0.254467 -0.507115 
1 1053 1788 2130 1412 2830 2623 2753 4775 4125 0.141129 0.303538 -0.455127 
1 577 1204 1594 843 2134 1808 1908 4383 3405 0.14485 0.199668 -0.568999 
1 669 1166 1558 867 2198 1902 2055 3820 3486 0.170394 0.266804 -0.53229 
0 377.5 850 1316 532.5 2512 2242.5 2506 3603 2784.5 0.312435 0.54105 -0.618235 
0 272 380 491 299 1222 1015 1185 1645 1171 0.426737 0.436433 -0.624691 
0 400 835 864 491 2480 2227 2474 2485 1721 0.483254 0.927433 -0.496988 
0 146.5 405.5 741 204 1229 1251.5 1374 2320.5 1736 0.247716 0.194051 -0.702495 
0 136 454 979 234 1900 1725 1862 2824 2244 0.319903 0.402035 -0.723002 
0 216 786 765 387 2867 2484.5 2806.5 2533 1639 0.578745 1.188303 -0.526363 
0 194.5 615 865 338 2050 1760.5 1939 2250.5 1455 0.406518 0.61089 -0.570756 
0 238.5 737 1510 374 2116 2146 2228.5 3440 2628 0.167126 0.180365 -0.647115 
0 327 778 1274 456 1890 1909 2049 2497 2023 0.19469 0.227769 -0.524886 
0 367.5 982 1176 634.5 2680 2322.5 2630 2885.5 2037 0.390042 0.79029 -0.492178 
0 293.5 551.5 788.5 332 1624 1663 1822.5 1906 1421 0.346321 0.427049 -0.55117 
0 497 1008 1368 703 2326 1994 2217 3231 2251 0.259339 0.449776 -0.524416 
0 311.5 675 976.5 453 1400 1192 1269 3007 3068.5 0.178203 0.158345 -0.633351 
0 284 816 1284 498 2066 2058 2159 3108 2450 0.233433 0.323109 -0.584098 
0 648 1287 2242 783 2813 2566 2715.5 4410 3692 0.112957 0.135265 -0.548183 
0 163.5 459 698.5 272.5 1124 1034.5 1103 2052.5 1608 0.233471 0.171999 -0.634481 
0 545 1060 1586 774 1628 1745 1812 2942 2040 0.013068 -0.093234 -0.470265 
0 218 511 1019.5 292.5 1388 1457 1531 1986 1869 0.153063 0.099688 -0.590709 
0 333 739 1054 481 1558 1594 1707 2315 1773 0.192956 0.201358 -0.516044 
0 598 1258 1880 766 2534 2443 2525 3767 3246 0.148165 0.20938 -0.499304 
0 804 1764 2712 1158 3278 2899 3060 4604 3628 0.094491 0.127362 -0.44598 
0 254 619 1300 375 1584 1590 1594 2127 1772 0.098474 0.037012 -0.549162 
0 630 1537 2769 909 3600 3336 3497.5 4946 4236.5 0.130476 0.203262 -0.525837 
0 259.5 750.5 1389 450.5 1724 1780 1822.5 2939.5 2305.5 0.107613 0.063667 -0.593225 
0 274 906.5 2119 451.5 2710 2662 2750.5 4081.5 3568 0.122386 0.124565 -0.636528 
0 493.5 1165 1678 734.5 2066 2213.5 2291.5 3232.5 2837.5 0.103632 0.093092 -0.470154 
0 179 658 1214 403 1622 1476 1528 2501 1974 0.143865 0.114339 -0.583412 
0 165 754 1674 388 2292 2106 2181 3260 2688 0.155825 0.169749 -0.624315 
0 263 831 1696 429 2954 2986 3143 4145 3809 0.270538 0.453431 -0.665997 
0 193 637 1202 339 1896 1608 1774 3063 2315 0.224016 0.260934 -0.655676 
0 116 431.5 639 246 1662 1446.5 1634 2348 1709 0.444589 0.559828 -0.689513 
0 257 835 1580 464 2192 1901 2021 3015 2504 0.162248 0.186284 -0.566234 
0 191.5 658 1607 332 1945 1982.5 2019 3313.5 2673.5 0.095158 0.042089 -0.668639 
0 439 1013.5 1973 577.5 2369 2454 2591.5 4306.5 3878 0.091202 0.062211 -0.618985 
0 1096 1614 1790 1330 3162 2795 3074 3683 2988 0.27706 0.773056 -0.390598 
0 402 987 1358 624 2382 2161 2359 3307 2667 0.273797 0.466358 -0.540289 
0 252 719 1536 409 2096 1905 1991 3228 2737 0.154185 0.159629 -0.635673 
0 251.5 662.5 1347 367.5 1724 1733 1801.5 2766 2138.5 0.122761 0.082001 -0.613534 
0 328 695 867 453 1960 1725 1920 2920 2063 0.386629 0.600238 -0.615491 
0 249 899 1452 422 1924 1706 1850 3241 2204 0.13981 0.126361 -0.5657 
0 357 910 1842 480 2834 2735 2860 4055 3980 0.212147 0.324307 -0.633434 
